City_ID,City,Country,Date,Longitude,Lattitude,MaxTemp,Humidity,WindSpeed,Cloudiness
3839307,Rawson,AR,1563762209,-65.11,-43.3,38.99,68,10.18,0
3843123,Neuquen,AR,1563762157,-68.06,-38.95,44.6,56,5.82,0
3848950,La Rioja,AR,1563762208,-66.86,-29.41,51.05,74,3.98,6
3860443,Comodoro Rivadavia,AR,1563762189,-67.48,-45.87,37.4,64,10.29,0
3863379,Mar del Plata,AR,1563762140,-67.52,-46.43,33.59,71,12.08,0
3867291,Filadelfia,PY,1563762213,-60.04,-22.35,83.27,42,14.54,0
3874787,Punta Arenas,CL,1563762098,-70.91,-53.16,35.6,83,13.87,75
3896218,Castro,CL,1563761918,-73.76,-42.48,39.2,86,4.7,75
3897347,Calama,CL,1563762224,-68.93,-22.46,46.4,20,11.41,0
3899695,Ancud,CL,1563762169,-73.83,-41.87,35.6,100,4.7,40
3901547,Villamontes,BO,1563762191,-63.47,-21.26,72.11,44,5.12,0
3902377,Trinidad,BO,1563762190,-64.9,-14.83,77.87,57,4.52,24
3906466,Riberalta,BO,1563762174,-66.08,-11,75.53,69,1.92,4
3924895,Placido de Castro,BR,1563762193,-67.19,-10.34,76.25,68,1.54,26
3932145,Pisco,PE,1563761862,-76.2,-13.71,62.6,77,10.29,90
3934608,Tucuman,PE,1563762184,-70.89,-17.17,50.33,44,1.1,0
3936952,La Oroya,PE,1563762214,-75.9,-11.52,35.21,95,2.64,19
3939761,Hualmay,PE,1563761842,-77.61,-11.1,62.39,86,11.12,41
3985710,Cabo San Lucas,MX,1563761905,-109.91,22.89,84,74,5.82,20
3987500,San Buenaventura,MX,1563762175,-101.55,27.06,85.79,34,8.01,75
4004293,Ixtapa,MX,1563762131,-105.21,20.71,75.99,100,6.93,75
4011743,Constitucion,MX,1563762130,-104.67,23.99,66.2,48,2.24,90
4014501,Charcas,MX,1563762190,-101.11,23.13,68.15,55,21.52,100
4020109,Atuona,PF,1563762100,-139.03,-9.8,80.03,78,12.41,48
4021858,Guerrero Negro,MX,1563762167,-114.04,27.97,66.89,88,14.7,0
4030556,Rikitea,PF,1563762103,-134.97,-23.12,68.15,76,19.42,32
4031574,Provideniya,RU,1563762123,-173.23,64.42,51.8,87,13.42,90
4031637,Lavrentiya,RU,1563762231,-170.99,65.58,52.31,80,15.57,58
4033557,Tautira,PF,1563762114,-149.15,-17.73,80.6,65,18.34,40
4034496,Fare,PF,1563762172,-151.02,-16.7,77.87,80,19.46,3
4034551,Faanui,PF,1563762060,-151.75,-16.48,78.59,80,19.53,0
4035715,Avarua,CK,1563762155,-159.78,-21.21,77,88,12.75,60
4036284,Alofi,NU,1563762127,-169.92,-19.06,77,78,13.87,100
4068590,Huntsville,US,1563762214,-86.59,34.73,81,83,5.82,75
4167694,Panama City,US,1563762213,-85.65,30.16,82.4,74,4.7,1
4267710,Sitka,US,1563762136,-99.65,37.17,82,60,1.01,2
4271086,Emporia,US,1563762012,-96.18,38.4,89.01,100,11.41,90
4278471,Russell,US,1563762132,-98.86,38.9,78.8,69,11.41,75
4386419,Festus,US,1563762205,-90.4,38.22,86,66,4.7,1
4407665,Kodiak,US,1563761914,-94.76,39.95,72,94,13.87,90
4501427,Port Elizabeth,US,1563762099,-74.98,39.31,89.6,83,4.7,1
4568570,Vieques,PR,1563762156,-65.83,18.43,82.4,74,5.82,20
4696310,Harper,US,1563762129,-99.24,30.3,87.01,45,3.36,1
4699066,Houston,US,1563761998,-95.37,29.76,86,74,4.7,1
4732862,Nome,US,1563762177,-94.42,30.04,84,83,4.7,1
4738721,Uvalde,US,1563761921,-99.79,29.21,96.8,28,10.29,1
4792494,Waverly,US,1563762165,-77.1,37.04,88,78,3.36,1
4854529,Dubuque,US,1563762154,-90.66,42.5,72,68,9.17,1
4955336,Weymouth,US,1563762040,-70.94,42.22,87.01,61,8.05,99
4975802,Portland,US,1563761650,-70.25,43.66,80.01,65,4.7,90
5024237,Callaway,US,1563762194,-95.91,46.98,68,68,5.82,40
5106834,Albany,US,1563762101,-73.75,42.65,80.01,60,8.05,1
5198635,Lock Haven,US,1563762179,-77.45,41.14,79,83,8.05,40
5228673,Huron,US,1563762159,-98.21,44.36,69.8,73,6.93,40
5367788,Lompoc,US,1563762121,-120.46,34.64,70,82,11.41,40
